subfield,works
Oceanography,272
Ecology,265
Molecular Biology,158
Global and Planetary Change,143
Atmospheric Science,95
Nature and Landscape Conservation,70
"Ecology, Evolution, Behavior and Systematics",29
Biomaterials,29
Paleontology,24
"Management, Monitoring, Policy and Law",24
General Health Professions,22
Plant Science,18
Anthropology,16
Genetics,13
Sociology and Political Science,11
Environmental Chemistry,10
Pollution,10
Parasitology,10
Insect Science,9
Archeology,8
Information Systems,8
Earth-Surface Processes,7
"Public Health, Environmental and Occupational Health",7
Environmental Engineering,7
Immunology,7
Soil Science,6
"Geography, Planning and Development",6
Aquatic Science,6
Ecological Modeling,5
Water Science and Technology,5
Biotechnology,4
Nutrition and Dietetics,4
Geochemistry and Petrology,3
Economics and Econometrics,3
Biomedical Engineering,3
Ocean Engineering,3
Information Systems and Management,3
Astronomy and Astrophysics,2
"Health, Toxicology and Mutagenesis",2
History,2
Microbiology,2
Animal Science and Zoology,2
Geophysics,2
"Radiology, Nuclear Medicine and Imaging",2
Food Science,2
Pharmacology,2
Endocrinology,2
Industrial and Manufacturing Engineering,2
Clinical Psychology,1
Space and Planetary Science,1
Cognitive Neuroscience,1
Aerospace Engineering,1
Archeology,1
Artificial Intelligence,1
Mechanics of Materials,1
"Renewable Energy, Sustainability and the Environment",1
Cellular and Molecular Neuroscience,1
Biochemistry,1
General Agricultural and Biological Sciences,1
Building and Construction,1
Civil and Structural Engineering,1
Infectious Diseases,1
Biophysics,1
Computer Vision and Pattern Recognition,1
Mechanical Engineering,1
Public Administration,1
Developmental and Educational Psychology,1
Strategy and Management,1
Geology,1
