,bc_topics,world_topics,bc_all,world_all,share_topics,share_all,specialization
2000,61.0,15151.0,5051.0,3056463.0,0.4026136888654214,0.16525637640632326,2.4362974526047765
2001,73.0,10284.0,5176.0,3057424.0,0.7098405289770517,0.16929284260213825,4.192974245492916
2002,88.0,10825.0,7540.0,3619957.0,0.8129330254041569,0.20828976697789503,3.902894689446891
2003,86.0,11289.0,7234.0,3776378.0,0.7618035255558508,0.1915592136168572,3.9768566135354617
2004,84.0,11579.0,7592.0,4035884.0,0.725451247948873,0.18811244327141216,3.8564766654068614
2005,106.0,12364.0,8670.0,4361017.0,0.8573277256551277,0.1988068379462864,4.312365381953112
2006,132.0,13078.0,10166.0,4723093.0,1.0093286435234745,0.21524030968689375,4.689310496680324
2007,132.0,14247.0,10934.0,4948074.0,0.9265108443882922,0.22097486820124354,4.192833564876308
2008,149.0,14906.0,12106.0,5381152.0,0.9995974775258286,0.22497041525680744,4.4432396872485285
2009,180.0,16074.0,13979.0,5788318.0,1.1198208286674132,0.24150366306757853,4.636868917197584
2010,176.0,16358.0,14765.0,6146273.0,1.0759261523413621,0.2402268822097554,4.478791642485337
2011,203.0,16925.0,15467.0,6433374.0,1.1994091580502215,0.24041816937737495,4.988845731403753
2012,183.0,17931.0,14704.0,6671677.0,1.0205788857286264,0.2203943626167754,4.630694150300125
2013,208.0,18944.0,14968.0,6933258.0,1.097972972972973,0.21588696107948097,5.085869787980124
2014,195.0,19530.0,18213.0,7173665.0,0.9984639016897081,0.25388696015216766,3.932710451498875
2015,217.0,19775.0,16350.0,7301929.0,1.0973451327433628,0.22391343438151753,4.900756114854808
2016,205.0,21220.0,16726.0,7372140.0,0.9660697455230914,0.2268812041008445,4.258042217960424
2017,219.0,18758.0,17771.0,6986180.0,1.1675018658705618,0.2543736348047144,4.589712557147939
2018,254.0,20046.0,18558.0,6896442.0,1.2670857028833682,0.2690952813059256,4.708687929175763
2019,259.0,20711.0,19788.0,7174625.0,1.2505431896093864,0.2758053556806105,4.534151218794848
2020,284.0,23687.0,21800.0,7305385.0,1.1989698991007725,0.29841000850742294,4.0178608790561
2021,292.0,23634.0,22965.0,6733400.0,1.2355081662012355,0.34106097959426146,3.6225432990635307
2022,275.0,22430.0,21462.0,6141682.0,1.2260365581810075,0.3494482456108929,3.5084925266621227
2023,271.0,24006.0,22427.0,6418299.0,1.1288844455552778,0.3494227987820449,3.2307120470963544
2024,193.0,18906.0,21543.0,6771354.0,1.0208399449910082,0.3181490732872628,3.208684326637257
2025,207.0,19220.0,21080.0,7998425.0,1.077003121748179,0.26355188677770935,4.0864936878883675
